schid,value,lowinc2015,act2015school,schoolTYPE
070162060170002,"Bloom Trail High School, Chicago Heights",83.3,17.3,HIGH SCHOOL
320380030260001,"Donovan Sr High School, Donovan",48,17.3,HIGH SCHOOL
070162270170002,"Rich Central Campus High School, Olympia Fields",74.5,17.3,HIGH SCHOOL
340490600260022,"Waukegan High School, Waukegan",62.8,17.3,HIGH SCHOOL
15016299025013C,"Urban Prep Chtr Acad Bronzeville HS, Chicago",85.1,17.4,CHARTER HIGH SCH
15016299025012C,"IHSCA Charter High School, Chicago",97.5,17.4,CHARTER SCH
070162180160001,"DD Eisenhower High Sch (Campus), Blue Island",78.8,17.4,HIGH SCHOOL
150162990250779,"Hancock College Preparatory HS, Chicago",96.7,17.4,HIGH SCHOOL
300910660220001,"Dongola High School, Dongola",88.9,17.4,HIGH SCHOOL
320463020160001,"St Anne Comm High School, Saint Anne",76.4,17.4,HIGH SCHOOL
200830020260001,"Carrier Mills-Stonefort H S, Carrier Mills",59.6,17.5,HIGH SCHOOL
390550610250036,"Eisenhower High School, Decatur",68.4,17.5,HIGH SCHOOL
410570140160001,"East Alton-Wood River High Sch, Wood River",64.6,17.5,HIGH SCHOOL
030262040260002,"Ramsey High School, Ramsey",61.4,17.5,HIGH SCHOOL
510841860250001,"Lanphier High School, Springfield",72.8,17.5,HIGH SCHOOL
060162010170002,"J Sterling Morton West High Sch, Berwyn",81.3,17.6,HIGH SCHOOL
560992040170001,"Joliet Central High School, Joliet",75.9,17.6,HIGH SCHOOL
490810410250001,"Rock Island High School, Rock Island",66.8,17.6,HIGH SCHOOL
310450460220002,"Larkin High School, Elgin",73.8,17.6,HIGH SCHOOL
010090150260007,"Beardstown Jr/Sr High School, Beardstown",74.1,17.7,HIGH SCHOOL
260621700260001,"Bushnell-Prairie City High Sch, Bushnell",58.8,17.7,HIGH SCHOOL
150162990250020,"Hubbard High School, Chicago",97.6,17.7,HIGH SCHOOL
150162990250006,"Carver Military Academy HS, Chicago",95.4,17.7,HIGH SCHOOL
150162990250856,"Williams Medical Prep High Sch, Chicago",95.9,17.7,HIGH SCHOOL
11087003A260001,"Cowden-Herrick Jr/Sr High School, Cowden",63.3,17.7,HIGH SCHOOL
400310030260001,"North Greene Jr/Sr High Sch, White Hall",69.5,17.7,HIGH SCHOOL
260343370260001,"Southeastern Jr/Sr High School, Augusta",54.5,17.7,HIGH SCHOOL
150162990250820,"Chicago Academy High School, Chicago",85.6,17.8,HIGH SCHOOL
150162990250617,"Curie Metropolitan High School, Chicago",94.9,17.8,HIGH SCHOOL
260290030260001,"Cuba Sr High School, Cuba",53.6,17.8,HIGH SCHOOL
390550610250038,"MacArthur High School, Decatur",66.5,17.8,HIGH SCHOOL
300391960260001,"Elverado High School, Elkville",58.3,17.8,HIGH SCHOOL
240470880260001,"Plano High School, Plano",59.4,17.8,HIGH SCHOOL
110213060260001,"Arcola High School, Arcola",49.1,17.9,HIGH SCHOOL
070162280160001,"Bremen High School, Midlothian",54.4,17.9,HIGH SCHOOL
150162990250031,"Morgan Park High School, Chicago",85.2,17.9,HIGH SCHOOL
150162990250795,"Chicago Military Academy HS, Chicago",94.9,17.9,HIGH SCHOOL
540921180240022,"Danville High School, Danville",71.6,17.9,HIGH SCHOOL
410570090260001,"Granite City High School, Granite City",64.7,17.9,HIGH SCHOOL
440630500260001,"Harvard High School, Harvard",59,17.9,HIGH SCHOOL
070162270170001,"Rich East Campus High School, Park Forest",84.7,17.9,HIGH SCHOOL
310450460220003,"Streamwood High School, Streamwood",63.7,17.9,HIGH SCHOOL
310450460220001,"Elgin High School, Elgin",77.1,17.9,HIGH SCHOOL
080432050260001,"Warren Jr/Sr High School, Warren",34.3,17.9,HIGH SCHOOL
130412040170001,"Webber High School, Bluford",45.5,18,HIGH SCHOOL
200970050260001,"Carmi-White County High School, Carmi",45.1,18,HIGH SCHOOL
150162990250849,"Alcott Humanities High School, Chicago",81.8,18,HIGH SCHOOL
120130100260002,"Clay City High School, Clay City",48,18,HIGH SCHOOL
200830040260001,"Eldorado High School, Eldorado",61.7,18,HIGH SCHOOL
041012050250002,"Rockford East High School, Rockford",80.6,18,HIGH SCHOOL
340491160260006,"Round Lake Senior High School, Round Lake",61.2,18,HIGH SCHOOL
130585010260001,"Sandoval Sr High School, Sandoval",72.4,18,HIGH SCHOOL
450791400260001,"Sparta High School, Sparta",62.3,18,HIGH SCHOOL
510841860250003,"Springfield Southeast High Sch, Springfield",67.3,18,HIGH SCHOOL
070162150170002,"Thornton Fractnl So High School, Lansing",70.7,18,HIGH SCHOOL
330482100260001,"Williamsfield High School, Williamsfield",36.2,18,HIGH SCHOOL
210281880260001,"Zeigler-Royalton High School, Zeigler",64.1,18,HIGH SCHOOL
150162990250837,"Infinity Math  Science & Tech HS, Chicago",96.6,18.1,HIGH SCHOOL
200300070260001,"Gallatin High School, Junction",49.2,18.1,HIGH SCHOOL
120170010260001,"Hutsonville High School, Hutsonville",40.7,18.1,HIGH SCHOOL
320460010260003,"Momence High School, Momence",65.2,18.1,HIGH SCHOOL
041012050250003,"Guilford High School, Rockford",75.2,18.1,HIGH SCHOOL
540920020260004,"Westville High School, Westville",63.2,18.1,HIGH SCHOOL
110230950250002,"Paris Cooperative High School 95, Paris",45.1,18.2,HIGH SCHOOL
210280990260001,"Christopher High, Christopher",58.3,18.2,HIGH SCHOOL
450790010220001,"Coulterville High School, Coulterville",60.6,18.2,HIGH SCHOOL
540920110260005,"Hoopeston Area High School, Hoopeston",62.6,18.2,HIGH SCHOOL
350500400170001,"Streator Twp High School, Streator",63.4,18.2,HIGH SCHOOL
260343160260001,"Warsaw Sr High School, Warsaw",26.5,18.2,HIGH SCHOOL
330362350260001,"West Central High School, Biggsville",54.4,18.2,HIGH SCHOOL
300771000260001,"Century Jr/Sr High School, Ullin",63.4,18.3,HIGH SCHOOL
280063030260001,"La Moille High School, La Moille",44.1,18.3,HIGH SCHOOL
490810300170001,"United Twp High School, East Moline",61.2,18.3,HIGH SCHOOL
530601890260001,"Illini Central High School, Mason City",47.5,18.4,HIGH SCHOOL
010690110260001,"Meredosia-Chambersburg High Sch, Meredosia",52.1,18.4,HIGH SCHOOL
030030010260001,"Mulberry Grove Sr High School, Mulberry Grove",46.6,18.4,HIGH SCHOOL
200970030260001,"Norris City-Omaha-Enfield H S, Norris City",53.8,18.4,HIGH SCHOOL
010010010260001,"Seymour High School, Payson",39.3,18.4,HIGH SCHOOL
010750030260002,"Pleasant Hill High School, Pleasant Hill",47,18.4,HIGH SCHOOL
090101930170001,"Rantoul Twp High School, Rantoul",64.6,18.4,HIGH SCHOOL
450791380260001,"Steeleville High School, Steeleville",25.3,18.4,HIGH SCHOOL
200933480260001,"Mount Carmel High School, Mount Carmel",40.7,18.4,HIGH SCHOOL
340491260170001,"Zion-Benton Twnshp Hi Sch, Zion",62.6,18.4,HIGH SCHOOL
15016299025217C,"Chicago Math & Sci Elem Charter, Chicago",94.2,18.5,CHARTER HIGH SCH
330482760260001,"Abingdon-Avon High Sch, Abingdon",52.8,18.5,HIGH SCHOOL
040041000260001,"Belvidere High School, Belvidere",57.4,18.5,HIGH SCHOOL
150162990250037,"Senn High School, Chicago",88.6,18.5,HIGH SCHOOL
150162990250848,"Air Force Acad High School, Chicago",88.1,18.5,HIGH SCHOOL
150162990250026,"Lake View High School, Chicago",88.7,18.5,HIGH SCHOOL
150162990250855,"Ogden Int High School, Chicago",51,18.5,HIGH SCHOOL
500821960260001,"Dupo High School, Dupo",53.5,18.5,HIGH SCHOOL
010690010260001,"Franklin Jr/Sr High School, Franklin",45.2,18.5,HIGH SCHOOL
350590050260001,"Henry-Senachwine High School, Henry",43,18.5,HIGH SCHOOL
210610380260001,"Joppa Jr & Sr High School, Joppa",71.4,18.5,HIGH SCHOOL
120510200260008,"Lawrenceville High School, Lawrenceville",49.6,18.5,HIGH SCHOOL
530601910260001,"Midwest Central High School, Manito",37.3,18.5,HIGH SCHOOL
130587220260001,"Odin Attendance Center 9-12, Odin",63.3,18.5,HIGH SCHOOL
280065050160001,"Ohio Community High School, Ohio",33.3,18.5,HIGH SCHOOL
410570010260001,"Roxana Sr High School, Roxana",55.1,18.5,HIGH SCHOOL
540920050260002,"Salt Fork High School, Catlin",0,18.5,HIGH SCHOOL
200961000260001,"Wayne City High School, Wayne City",46.7,18.5,HIGH SCHOOL
010750120260001,"Western High School, Barry",51.7,18.5,HIGH SCHOOL
060162120160002,"West Leyden High School, Northlake",62.6,18.6,HIGH SCHOOL
540922250170001,"Armstrong High School, Armstrong",39.7,18.6,HIGH SCHOOL
130582000170001,"Centralia High School, Centralia",66.1,18.6,HIGH SCHOOL
211000030260001,"Crab Orchard High School, Marion",42.3,18.6,HIGH SCHOOL
110180770260001,"Cumberland High School, Toledo",44.9,18.6,HIGH SCHOOL
200962250160001,"Fairfield Comm High School, Fairfield",44.5,18.6,HIGH SCHOOL
210281680260001,"Frankfort Community High School, West Frankfort",47.6,18.6,HIGH SCHOOL
300391860260001,"Murphysboro High School, Murphysboro",98.1,18.6,HIGH SCHOOL
070162170160001,"Argo Community High School, Summit",65.2,18.7,HIGH SCHOOL
310451290220001,"West Aurora High School, Aurora",62.5,18.7,HIGH SCHOOL
150162990250024,"Kennedy High School, Chicago",85.4,18.7,HIGH SCHOOL
150162990250534,"Prosser Career Academy HS, Chicago",95.2,18.7,HIGH SCHOOL
170200150260001,"Clinton High School, Clinton",43.4,18.7,HIGH SCHOOL
530903090160001,"East Peoria High School, East Peoria",51.5,18.7,HIGH SCHOOL
200330100260002,"Hamilton County Jr/Sr High School, Mc Leansboro",48.8,18.7,HIGH SCHOOL
211000010260001,"Johnston City High School, Johnston City",64.8,18.7,HIGH SCHOOL
130412010170001,"Mount Vernon High School, Mount Vernon",53.8,18.7,HIGH SCHOOL
030110080260006,"Pana Sr High School, Pana",53.3,18.7,HIGH SCHOOL
130581000260002,"Patoka Sr High School, Patoka",62,18.7,HIGH SCHOOL
070162200170001,"Reavis High School, Burbank",58.5,18.7,HIGH SCHOOL
390550090260001,"Sangamon Valley High School, Niantic",39.9,18.7,HIGH SCHOOL
030262020260002,"St Elmo Sr High School, Saint Elmo",53,18.7,HIGH SCHOOL
15016299025225C,"Chicago Virtual Charter School, Chicago",76.1,18.8,CHARTER HIGH SCH
130140010260001,"Carlyle High School, Carlyle",38.9,18.8,HIGH SCHOOL
310453000260002,"Dundee-Crown High School, Carpentersville",63.7,18.8,HIGH SCHOOL
260343280240001,"Hamilton Jr/Sr High Sch, Hamilton",44.4,18.8,HIGH SCHOOL
480723100160001,"Limestone Community High School, Peoria",48.1,18.8,HIGH SCHOOL
030680120260001,"Litchfield Senior High School, Litchfield",46.9,18.8,HIGH SCHOOL
480723250260005,"Peoria Heights High School, Peoria Heights",54.1,18.8,HIGH SCHOOL
300731010160001,"Pinckneyville Comm High School, Pinckneyville",40.2,18.8,HIGH SCHOOL
010690060260001,"Waverly High School, Waverly",33.9,18.8,HIGH SCHOOL
080083140260001,"West Carroll High School, Savanna",51.4,18.8,HIGH SCHOOL
330482050260023,"Galesburg High School, Galesburg",58.9,18.9,HIGH SCHOOL
200350010260003,"Hardin County High School, Elizabethtown",51.7,18.9,HIGH SCHOOL
030680030260001,"Hillsboro High School, Hillsboro",49.3,18.9,HIGH SCHOOL
010691170220014,"Jacksonville High School, Jacksonville",50.5,18.9,HIGH SCHOOL
200760010260001,"Pope Co High School, Golconda",54.8,18.9,HIGH SCHOOL
470980030260001,"Prophetstown High School, Prophetstown",48,18.9,HIGH SCHOOL
030262030260001,"Vandalia Community High School, Vandalia",49.6,18.9,HIGH SCHOOL
150162990250828,"Rickover Naval Academy High Schl, Chicago",86.8,19,HIGH SCHOOL
56099201U260001,"Crete-Monee High School, Crete",66.7,19,HIGH SCHOOL
350500090260001,"Earlville Jr/Sr High School, Earlville",43.8,19,HIGH SCHOOL
531020060260001,"Fieldcrest High School, Minonk",42.9,19,HIGH SCHOOL
200970010260003,"Grayville Jr Sr High School, Grayville",44.4,19,HIGH SCHOOL
530601260260001,"Havana High School, Havana",47.5,19,HIGH SCHOOL
120130250260001,"North Clay Community High School, Louisville",36.6,19,HIGH SCHOOL
470712220260004,"Polo Comm High School, Polo",44.2,19,HIGH SCHOOL
190220940160001,"Community High School, West Chicago",46.7,19.1,HIGH SCHOOL
110230010260001,"Shiloh High School, Hume",54.8,19.1,HIGH SCHOOL
280372250260001,"AlWood  Middle/High School, Woodhull",36.6,19.1,HIGH SCHOOL
300910810160001,"Anna-Jonesboro High School, Anna",38.3,19.1,HIGH SCHOOL
030250200260001,"Beecher City Jr-Sr High School, Beecher City",52.1,19.1,HIGH SCHOOL
260290660250001,"Canton High School, Canton",49.4,19.1,HIGH SCHOOL
11012004C260001,"Casey-Westfield Jr/Sr HS, Casey",52.8,19.1,HIGH SCHOOL
190220880160001,"Addison Trail High School, Addison",62.7,19.1,HIGH SCHOOL
120130350260001,"Flora High School, Flora",50,19.1,HIGH SCHOOL
320380090260001,"Watseka Comm High School, Watseka",59.5,19.1,HIGH SCHOOL
320380100260001,"Iroquois West High School, Gilman",54.3,19.1,HIGH SCHOOL
330664040260001,"Mercer County High School, Aledo",43.2,19.1,HIGH SCHOOL
470522710260004,"Paw Paw Jr/Sr High School, Paw Paw",36.4,19.1,HIGH SCHOOL
170640190260001,"Ridgeview High School, Colfax",39,19.1,HIGH SCHOOL
260850050260001,"Rushville-Industry High School, Rushville",42.4,19.1,HIGH SCHOOL
210281960260001,"Sesser-Valier High School, Sesser",49.8,19.1,HIGH SCHOOL
490812000260001,"Sherrard High School, Sherrard",29.7,19.1,HIGH SCHOOL
210281740260001,"Thompsonville High School, Thompsonville",44.2,19.1,HIGH SCHOOL
170530050260001,"Woodland High School, Streator",45.7,19.1,HIGH SCHOOL
070162280160002,"Tinley Park High School, Tinley Park",37.1,19.2,HIGH SCHOOL
080083990260002,"Milledgeville High School, Milledgeville",30.5,19.2,HIGH SCHOOL
450791390260001,"Chester High School, Chester",43,19.2,HIGH SCHOOL
150162990250803,"Phoenix Military Academy HS, Chicago",95.2,19.2,HIGH SCHOOL
150162990250043,"Taft High School, Chicago",62.5,19.2,HIGH SCHOOL
200240010260005,"Edwards County High School, Albion",35.6,19.2,HIGH SCHOOL
170530740270001,"Flanagan-Cornell High School, Flanagan",38.1,19.2,HIGH SCHOOL
010750040260002,"Griggsville-Perry High School, Griggsville",46,19.2,HIGH SCHOOL
160194260260003,"Hiawatha High School, Kirkland",46.5,19.2,HIGH SCHOOL
070162290160001,"Oak Lawn Comm High School, Oak Lawn",40.6,19.2,HIGH SCHOOL
110703020260001,"Okaw Valley High School, Bethany",42.6,19.2,HIGH SCHOOL
350501600170001,"Seneca High School, Seneca",35.6,19.2,HIGH SCHOOL
56099365U260007,"Bolingbrook High School, Bolingbrook",60,19.2,HIGH SCHOOL
07016901025001C,"Southland College Prep, Richton Park",57.3,19.3,CHARTER HIGH SCH
540920010260005,"Bismarck-Henning High School, Bismarck",29.8,19.3,HIGH SCHOOL
280372270260002,"Cambridge Jr/Sr High School, Cambridge",39.4,19.3,HIGH SCHOOL
070162180160004,"H L Richards High Sch(Campus), Oak Lawn",59.6,19.3,HIGH SCHOOL
041013200260001,"South Beloit Sr High School, South Beloit",63.8,19.3,HIGH SCHOOL
390740570260001,"Deland-Weldon High School, De Land",50.8,19.3,HIGH SCHOOL
080891450220001,"Freeport High School, Freeport",63.7,19.3,HIGH SCHOOL
200830030260001,"Harrisburg High School, Harrisburg",55.6,19.3,HIGH SCHOOL
170540210260001,"Hartsburg-Emden Jr-Sr High School, Hartsburg",52,19.3,HIGH SCHOOL
040042000260003,"North Boone High School, Poplar Grove",49.3,19.3,HIGH SCHOOL
120170040260001,"Oblong High School, Oblong",38,19.3,HIGH SCHOOL
120800010260001,"Richland County High School, Olney",45.7,19.3,HIGH SCHOOL
470712120170001,"Rochelle Twp High School, Rochelle",31.1,19.3,HIGH SCHOOL
130584010260001,"South Central High School, Farina",58,19.3,HIGH SCHOOL
410570110260001,"Alton High School, Alton",56.7,19.4,HIGH SCHOOL
390740050260001,"Bement High School, Bement",39.1,19.4,HIGH SCHOOL
210281030130001,"Benton Cons High School, Benton",54.9,19.4,HIGH SCHOOL
070162180160007,"A B Shepard High Sch (Campus), Palos Heights",50.9,19.4,HIGH SCHOOL
010010040260001,"Unity High School, Mendon",25.9,19.4,HIGH SCHOOL
280372240260001,"Galva Jr-Sr High School, Galva",46.5,19.4,HIGH SCHOOL
211000040260001,"Herrin High School, Herrin",56.3,19.4,HIGH SCHOOL
540920120260001,"Jamaica High School, Sidell",45,19.4,HIGH SCHOOL
11012003C260001,"Martinsville Jr-Sr High School, Martinsville",56.4,19.4,HIGH SCHOOL
300391760260001,"Trico Senior High School, Campbell Hill",49,19.4,HIGH SCHOOL
280372300260002,"Wethersfield Jr/Sr High School, Kewanee",42.1,19.4,HIGH SCHOOL
410570080260001,"Civic Memorial High School, Bethalto",42,19.5,HIGH SCHOOL
390741000260001,"Cerro Gordo Jr and Sr High School, Cerro Gordo",28,19.5,HIGH SCHOOL
150162990250025,"Kenwood Academy High School, Chicago",73.8,19.5,HIGH SCHOOL
300910170220001,"Cobden High School, Cobden",59.9,19.5,HIGH SCHOOL
410570100260001,"Collinsville High School, Collinsville",51.8,19.5,HIGH SCHOOL
470521700220001,"Dixon High School, Dixon",43.3,19.5,HIGH SCHOOL
400560070260003,"Gillespie High School, Gillespie",54.1,19.5,HIGH SCHOOL
090100080260001,"Heritage High School, Broadlands",32.4,19.5,HIGH SCHOOL
500820600260003,"New Athens High School, New Athens",25.1,19.5,HIGH SCHOOL
400560020260004,"Northwestern High School, Palmyra",53.5,19.5,HIGH SCHOOL
010011720220003,"Quincy Sr High School, Quincy",48.1,19.5,HIGH SCHOOL
120510100260001,"Red Hill Jr/Sr High School, Bridgeport",51.4,19.5,HIGH SCHOOL
470983010170001,"Rock Falls Township High School, Rock Falls",58.5,19.5,HIGH SCHOOL
56099365U260008,"Romeoville High School, Romeoville",62.4,19.5,HIGH SCHOOL
500822010170002,"Belleville High School-West, Belleville",45.3,19.6,HIGH SCHOOL
010010030260001,"Central High School, Camp Point",47.3,19.6,HIGH SCHOOL
110230060260001,"Chrisman High School, Chrisman",44.1,19.6,HIGH SCHOOL
200830010260001,"Galatia High School, Galatia",43.7,19.6,HIGH SCHOOL
320460060260001,"Grant Park High School, Grant Park",31,19.6,HIGH SCHOOL
280065020170001,"Hall High School, Spring Valley",54.4,19.6,HIGH SCHOOL
400421000260001,"Jersey Comm High School, Jerseyville",37.9,19.6,HIGH SCHOOL
120170030260001,"Palestine High School, Palestine",30.2,19.6,HIGH SCHOOL
560992020220001,"Plainfield High School, Plainfield",32.5,19.6,HIGH SCHOOL
470980050260014,"Sterling High School, Sterling",48.6,19.6,HIGH SCHOOL
010090640260003,"Virginia Jr/ Sr High School, Virginia",51.8,19.6,HIGH SCHOOL
390550010260001,"Argenta-Oreana High School, Argenta",38.3,19.7,HIGH SCHOOL
040041000260002,"Belvidere North High Sch, Belvidere",41.5,19.7,HIGH SCHOOL
150162990250046,"Von Steuben Metro Science HS, Chicago",79.3,19.7,HIGH SCHOOL
160194280260011,"De Kalb High School, Dekalb",49.9,19.7,HIGH SCHOOL
160194240260001,"Genoa-Kingston High School, Genoa",35,19.7,HIGH SCHOOL
210440010260001,"Goreville High School, Goreville",41.9,19.7,HIGH SCHOOL
560992040170003,"Joliet West High School, Joliet",54.8,19.7,HIGH SCHOOL
350501200170001,"La Salle-Peru Twp High School, La Salle",42.1,19.7,HIGH SCHOOL
540920760260001,"Oakwood High School, Fithian",41.5,19.7,HIGH SCHOOL
170530900170001,"Pontiac High School, Pontiac",38.3,19.7,HIGH SCHOOL
